image_name,area,centroid_x,centroid_y,eta20,eta02,eta11,eta30,eta03,eta21,eta12,h1,h2,h3,h4,h5,h6,h7,flusser_i8,h1_opencv,h2_opencv,h3_opencv,h4_opencv,h5_opencv,h6_opencv,h7_opencv
square,1.468800e+05,3.150000e+01,3.150000e+01,3.262300e-04,3.262300e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.524601e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.524601e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
horizontal_rect,9.792000e+04,3.150000e+01,3.150000e+01,8.706087e-04,1.216980e-04,1.554094e-18,-1.589248e-19,-1.589248e-19,-1.489920e-19,-1.539584e-19,9.923066e-04,5.608672e-07,1.747524e-37,1.927086e-37,3.532134e-74,2.308996e-42,1.739363e-75,-7.215152e-41,9.923066e-04,5.608672e-07,1.747524e-37,1.927086e-37,3.532134e-74,2.308996e-42,1.739363e-75
vertical_rect,9.792000e+04,3.150000e+01,3.150000e+01,1.216980e-04,8.706087e-04,1.554094e-18,-1.589248e-19,-1.589248e-19,-1.539584e-19,-1.489920e-19,9.923066e-04,5.608672e-07,1.747524e-37,1.927086e-37,3.532134e-74,2.308996e-42,-1.739363e-75,7.215152e-41,9.923066e-04,5.608672e-07,1.747524e-37,1.927086e-37,3.532134e-74,2.308996e-42,-1.739363e-75
diagonal_rect,9.784300e+04,3.134402e+01,3.201632e+01,4.975856e-04,4.975760e-04,-3.741849e-04,-1.672936e-09,2.237261e-10,-2.400589e-10,7.581208e-10,9.951616e-04,5.600573e-07,1.647211e-17,8.371530e-19,3.057847e-36,-2.235555e-23,5.601110e-37,-3.130505e-22,9.951616e-04,5.600573e-07,1.647211e-17,8.371530e-19,3.057847e-36,-2.235555e-23,5.601110e-37
circle,1.124550e+05,3.200000e+01,3.200000e+01,3.120623e-04,3.120623e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.241247e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.241247e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
horizontal_ellipse,1.277550e+05,3.200000e+01,3.200000e+01,6.727260e-04,1.446131e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.173391e-04,2.789032e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.173391e-04,2.789032e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
vertical_ellipse,1.277550e+05,3.200000e+01,3.200000e+01,1.446131e-04,6.727260e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.173391e-04,2.789032e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.173391e-04,2.789032e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
diagonal_ellipse,1.147500e+05,3.199556e+01,3.202000e+01,3.854174e-04,3.839229e-04,2.243339e-04,1.471294e-08,-2.632578e-08,-1.481074e-08,-3.071392e-08,7.693403e-04,2.013050e-07,1.174577e-14,1.948245e-15,7.553866e-30,5.885022e-19,-5.458719e-30,-3.231680e-19,7.693403e-04,2.013050e-07,1.174577e-14,1.948245e-15,7.553866e-30,5.885022e-19,-5.458719e-30
l_shape,1.254600e+05,2.901220e+01,3.148780e+01,3.325960e-04,5.416640e-04,1.683086e-04,3.337816e-06,-5.713692e-06,2.364286e-06,-1.572328e-06,8.742600e-04,1.570206e-07,2.288876e-10,1.433547e-11,-3.541665e-22,-2.287284e-15,-7.408599e-22,-2.599854e-15,8.742600e-04,1.570206e-07,2.288876e-10,1.433547e-11,-3.541665e-22,-2.287284e-15,-7.408599e-22
l_shape_90deg,1.254600e+05,3.148780e+01,3.498780e+01,5.416640e-04,3.325960e-04,-1.683086e-04,-5.713692e-06,-3.337816e-06,1.572328e-06,2.364286e-06,8.742600e-04,1.570206e-07,2.288876e-10,1.433547e-11,-3.541665e-22,-2.287284e-15,-7.408599e-22,-2.599854e-15,8.742600e-04,1.570206e-07,2.288876e-10,1.433547e-11,-3.541665e-22,-2.287284e-15,-7.408599e-22
l_shape_mirror,1.254600e+05,3.398780e+01,3.148780e+01,3.325960e-04,5.416640e-04,-1.683086e-04,-3.337816e-06,-5.713692e-06,2.364286e-06,1.572328e-06,8.742600e-04,1.570206e-07,2.288876e-10,1.433547e-11,-3.541665e-22,-2.287284e-15,7.408599e-22,2.599854e-15,8.742600e-04,1.570206e-07,2.288876e-10,1.433547e-11,-3.541665e-22,-2.287284e-15,7.408599e-22
triangle,1.104150e+05,3.200000e+01,3.721016e+01,2.464772e-04,5.743997e-04,1.222261e-18,0.000000e+00,-7.660518e-06,3.338384e-06,0.000000e+00,8.208769e-04,1.075332e-07,3.124293e-10,1.868084e-11,1.427153e-21,6.125869e-15,-0.000000e+00,-2.283287e-29,8.208769e-04,1.075332e-07,3.124293e-10,1.868084e-11,1.427153e-21,6.125869e-15,-0.000000e+00
triangle_90deg,1.104150e+05,3.721016e+01,3.200000e+01,5.743997e-04,2.464772e-04,0.000000e+00,-7.660518e-06,0.000000e+00,2.354127e-19,3.338384e-06,8.208769e-04,1.075332e-07,3.124293e-10,1.868084e-11,1.427153e-21,6.125869e-15,1.761748e-34,3.336563e-28,8.208769e-04,1.075332e-07,3.124293e-10,1.868084e-11,1.427153e-21,6.125869e-15,1.761748e-34
asymmetric,1.550400e+05,3.455263e+01,3.150000e+01,3.865547e-04,2.728498e-04,0.000000e+00,-1.123417e-06,0.000000e+00,6.297537e-21,1.016425e-06,6.594045e-04,1.292881e-08,1.741135e-11,1.144730e-14,5.110588e-27,1.301614e-18,8.792862e-40,7.661283e-32,6.594045e-04,1.292881e-08,1.741135e-11,1.144730e-14,5.110588e-27,1.301614e-18,8.792862e-40
star_perfect,9.868500e+04,3.143152e+01,3.152196e+01,3.856118e-04,3.804699e-04,-9.849625e-06,1.195924e-07,2.664580e-08,-6.408982e-09,-1.407054e-07,7.660817e-04,4.144988e-10,2.955526e-13,8.552867e-16,8.092027e-30,1.701967e-20,-1.092855e-29,1.840050e-21,7.660817e-04,4.144988e-10,2.955526e-13,8.552867e-16,8.092027e-30,1.701967e-20,-1.092855e-29
heart,8.517000e+04,2.882036e+01,3.650000e+01,2.652399e-04,3.702176e-04,0.000000e+00,-2.688279e-07,0.000000e+00,1.407776e-20,4.216980e-07,6.354576e-04,1.102032e-08,2.352916e-12,2.336928e-14,-5.479883e-27,-2.453254e-18,1.664798e-39,2.259193e-31,6.354576e-04,1.102032e-08,2.352916e-12,2.336928e-14,-5.479883e-27,-2.453254e-18,1.664798e-39
irregular_polygon,2.381700e+05,3.311242e+01,3.190471e+01,2.727309e-04,3.696841e-04,-8.581650e-06,-2.988301e-07,-8.452455e-07,4.874311e-07,2.587761e-07,6.424150e-04,9.694509e-09,6.480702e-12,1.296355e-13,8.526597e-26,1.176552e-17,8.275489e-26,2.474474e-18,6.424150e-04,9.694509e-09,6.480702e-12,1.296355e-13,8.526597e-26,1.176552e-17,8.275489e-26
crescent,1.045500e+05,2.734878e+01,3.514634e+01,4.894175e-04,6.844483e-04,2.512994e-04,8.606525e-06,-1.023793e-05,4.001627e-06,1.001730e-06,1.173866e-03,2.906425e-07,5.261177e-10,1.312101e-10,-3.433340e-20,-7.065137e-14,3.110757e-21,1.739940e-15,1.173866e-03,2.906425e-07,5.261177e-10,1.312101e-10,-3.433340e-20,-7.065137e-14,3.110757e-21
distorted_ellipse,1.318350e+05,3.059768e+01,3.035010e+01,3.182913e-04,3.861229e-04,-4.638878e-06,-4.541045e-07,-2.764461e-06,1.743435e-06,1.505347e-06,7.044142e-04,4.687207e-09,8.861862e-11,2.147604e-12,-7.986302e-24,1.566917e-17,-2.853074e-23,-7.309725e-17,7.044142e-04,4.687207e-09,8.861862e-11,2.147604e-12,-7.986302e-24,1.566917e-17,-2.853074e-23
flusser_ellipse_ref,1.313250e+05,3.200000e+01,3.200000e+01,4.568226e-04,2.130045e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.698271e-04,5.944729e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.698271e-04,5.944729e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
flusser_ellipse_compressed,1.759500e+05,3.200000e+01,2.880290e+01,3.327197e-04,2.980194e-04,0.000000e+00,0.000000e+00,-3.804523e-07,4.331785e-07,0.000000e+00,6.307391e-04,1.204110e-09,2.822359e-12,2.780058e-15,-2.462561e-28,-9.646883e-20,0.000000e+00,-0.000000e+00,6.307391e-04,1.204110e-09,2.822359e-12,2.780058e-15,-2.462561e-28,-9.646883e-20,0.000000e+00
flusser_ellipse_expanded,1.598850e+05,3.475120e+01,3.200000e+01,5.414097e-04,1.799938e-04,0.000000e+00,3.750374e-07,0.000000e+00,0.000000e+00,-1.270454e-07,7.214035e-04,1.306215e-07,5.717987e-13,6.150003e-14,1.153279e-26,2.222709e-17,0.000000e+00,0.000000e+00,7.214035e-04,1.306215e-07,5.717987e-13,6.150003e-14,1.153279e-26,2.222709e-17,0.000000e+00
flusser_star_asym,1.022550e+05,3.145387e+01,3.100748e+01,3.602406e-04,4.278331e-04,-1.203196e-05,3.934044e-08,-1.580127e-06,5.329985e-07,-6.412243e-08,7.880737e-04,5.147821e-09,1.016051e-11,1.097092e-12,3.662872e-24,7.282330e-17,-6.479458e-27,1.493941e-17,7.880737e-04,5.147821e-09,1.016051e-11,1.097092e-12,3.662872e-24,7.282330e-17,-6.479458e-27
flusser_circle_deformed,1.127100e+05,3.346380e+01,3.235068e+01,3.540886e-04,2.817194e-04,2.754257e-05,4.456007e-07,-3.781775e-07,4.260654e-07,-1.705729e-07,6.358079e-04,8.271675e-09,3.660034e-12,7.793352e-14,3.592143e-26,6.759063e-18,2.102594e-26,1.067027e-18,6.358079e-04,8.271675e-09,3.660034e-12,7.793352e-14,3.592143e-26,6.759063e-18,2.102594e-26
flusser_circle_chipped,1.104150e+05,3.180600e+01,3.204619e+01,3.048692e-04,3.224257e-04,4.473568e-06,-5.274776e-08,-1.218691e-07,1.019093e-07,1.473493e-07,6.272950e-04,3.882826e-10,4.276619e-13,9.347852e-15,-5.887097e-28,-1.839154e-19,5.244995e-29,5.103018e-21,6.272950e-04,3.882826e-10,4.276619e-13,9.347852e-15,-5.887097e-28,-1.839154e-19,5.244995e-29
flusser_circle_abnormal,7.905000e+04,3.207097e+01,3.206452e+01,3.428797e-04,2.855159e-04,1.430620e-05,-7.271735e-08,-5.432354e-08,6.444869e-08,5.952627e-08,6.283956e-04,4.109277e-09,1.244900e-13,2.765233e-16,6.092607e-31,-3.542324e-21,1.503684e-30,8.684300e-21,6.283956e-04,4.109277e-09,1.244900e-13,2.765233e-16,6.092607e-31,-3.542324e-21,1.503684e-30
flusser_triangle_ref,8.134500e+04,3.196552e+01,3.659561e+01,2.361019e-04,6.009018e-04,5.993176e-07,1.280937e-08,-8.205335e-06,3.281848e-06,1.189857e-08,8.370037e-04,1.330804e-07,3.258347e-10,2.424134e-11,2.154231e-21,8.842502e-15,-2.970258e-23,-5.890517e-17,8.370037e-04,1.330804e-07,3.258347e-10,2.424134e-11,2.154231e-21,8.842502e-15,-2.970258e-23
flusser_triangle_asym,8.899500e+04,3.264756e+01,3.661605e+01,2.600079e-04,5.464571e-04,1.979357e-05,3.750123e-07,-7.100906e-06,3.424780e-06,-2.432704e-07,8.064650e-04,8.362030e-08,3.031198e-10,1.353126e-11,8.539578e-22,3.827733e-15,-1.474371e-22,-4.058723e-16,8.064650e-04,8.362030e-08,3.031198e-10,1.353126e-11,8.539578e-22,3.827733e-15,-1.474371e-22
h5h6_rect_top1_spike,1.012350e+05,3.112343e+01,3.126952e+01,8.568475e-04,1.294880e-04,2.532436e-05,1.395347e-06,-8.153815e-08,-2.847595e-07,-3.933146e-07,9.863355e-04,5.316171e-07,7.229252e-12,1.138243e-12,2.366945e-24,5.955462e-16,2.249131e-24,2.890012e-16,9.863355e-04,5.316171e-07,7.229252e-12,1.138243e-12,2.366945e-24,5.955462e-16,2.249131e-24
h5h6_rect_top2_spike,1.007250e+05,3.123544e+01,3.130127e+01,8.475541e-04,1.288167e-04,1.822187e-05,1.328070e-06,-8.219615e-08,-1.061185e-08,-2.943630e-07,9.763708e-04,5.179116e-07,4.891760e-12,1.077163e-12,2.368369e-24,7.548234e-16,7.103557e-25,8.826701e-17,9.763708e-04,5.179116e-07,4.891760e-12,1.077163e-12,2.368369e-24,7.548234e-16,7.103557e-25
